Category,Item,Serving_g,Calories_kcal_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugars_g_per_100g,Sodium_mg_per_100g,Key_vitamins_minerals,Notes
Regional Specialty,Keralan Malai Kofta small,100,268,3.6,24.0,14.0,5.6,13.3,530,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Lychee,100,57,1.4,0.2,16.4,2.8,9.9,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Breakfast/Tiffin,Pongal,100,258,11.0,6.7,17.4,1.3,5.6,247,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Paneer Butter Masala small,100,386,7.5,16.8,11.6,6.0,17.0,476,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Pomegranate,100,94,0.8,0.3,15.9,2.1,15.9,3,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Keralan Masala Omelette with Rice,100,183,8.5,17.0,11.9,5.3,5.5,587,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Baingan Bharta with Roti,100,295,12.7,17.6,18.2,5.9,5.3,218,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Butter Chicken medium,100,259,4.9,10.5,54.5,4.6,17.9,435,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Chole Bhature medium,100,221,5.6,5.5,48.0,0.9,19.1,545,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Fish Fry with Roti,100,216,9.6,23.0,30.4,3.2,10.6,422,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Butter Chicken with Roti,100,182,3.7,11.7,49.7,3.0,2.7,551,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Paneer Butter Masala medium,100,166,14.2,6.9,31.0,2.4,7.7,372,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Kadai Paneer small,100,241,7.5,5.3,43.0,1.7,6.4,102,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Masala Omelette medium,100,391,5.9,17.6,41.3,1.9,14.0,392,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Methi Paratha,100,263,9.2,4.9,21.1,4.8,1.4,260,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Aloo Gobi with Rice,100,168,5.0,19.3,30.6,0.8,5.9,169,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Baingan Bharta small,100,404,5.5,8.6,19.4,5.1,12.6,407,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Roti,100,251,10.4,6.8,33.3,3.1,2.9,235,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Masala Omelette with Roti,100,447,7.9,8.4,42.8,5.7,13.2,232,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Paratha with Rice,100,314,17.3,16.4,54.4,3.2,11.0,110,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Paratha small,100,152,12.5,12.7,45.1,4.1,2.8,86,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Banana,100,52,1.3,0.4,12.8,2.4,6.5,1,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Salad/Side,Green Salad,100,87,1.4,0.8,19.3,5.1,6.0,20,Varies,
Regional Specialty,Gujarati Paneer Butter Masala medium,100,280,9.4,17.3,28.7,1.3,18.5,108,Varies widely,Recipe variants cause large nutritional differences.
